,Time,Replicate,Fasting,Adlib
CT8CTLM1,8,1,0,1
CT8CTLM2,8,1,0,1
CT12CTLM1,12,2,0,1
CT12CTLM2,12,2,0,1
CT16CTLM1,16,3,0,1
CT16CTLM2,16,3,0,1
CT20CTLM1,20,4,0,1
CT20CTLM2,20,4,0,1
CT24CTLM1,24,5,0,1
CT24CTLM2,24,5,0,1
CT28CTLM1,28,6,0,1
CT28CTLM2,28,6,0,1
CT32CTLM1,32,7,0,1
CT32CTLM2,32,7,0,1
CT36CTLM1,36,8,0,1
CT36CTLM2,36,8,0,1
CT40CTLM1,40,9,0,1
CT40CTLM2,40,9,0,1
CT44CTLM1,44,10,0,1
CT44CTLM2,44,10,0,1
CT8fastingM1,8,11,1,0
CT8fastingM2,8,11,1,0
CT12fastingM1,12,12,1,0
CT12fastingM2,12,12,1,0
CT16fastingM1,16,13,1,0
CT16fastingM2,16,13,1,0
CT20fastingM1,20,14,1,0
CT20fastingM2,20,14,1,0
CT24fastingM1,24,15,1,0
CT24fastingM2,24,15,1,0
CT28fastingM1,28,16,1,0
CT28fastingM2,28,16,1,0
CT32fastingM1,32,17,1,0
CT32fastingM2,32,17,1,0
CT36fastingM1,36,18,1,0
CT36fastingM2,36,18,1,0
CT40fastingM1,40,19,1,0
CT40fastingM2,40,19,1,0
CT44fastingM1,44,20,1,0
CT44fastingM2,44,20,1,0
